                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1182,                 1.8421,                 1.0351,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00054826,             0.00054826,             0.00054826
                      2,                 1.1265,                 1.3272,                 1.0799,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010883,              0.0010883,              0.0010883
                      3,                 1.1807,                 1.4253,                 1.0907,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016126,              0.0016126,              0.0016126
                      4,                 1.2212,                 1.2787,                 1.0783,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015963,              0.0015963,              0.0015963
                      5,                  1.116,                 1.0602,                 1.0692,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015727,              0.0015727,              0.0015727
                      6,                  1.096,                 1.0063,                  1.057,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015491,              0.0015491,              0.0015491
                      7,                 1.0391,                0.89445,                 1.0386,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015255,              0.0015255,              0.0015255
                      8,                 1.0662,                 0.8561,                 1.0472,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      9,                0.97385,                0.78895,                 1.0133,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014784,              0.0014784,              0.0014784
                     10,                0.97997,                0.79774,                 1.0126,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014548,              0.0014548,              0.0014548
                     11,                0.95282,                0.77348,                 1.0039,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014312,              0.0014312,              0.0014312
                     12,                0.95386,                0.73566,                 1.0177,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014077,              0.0014077,              0.0014077
                     13,                0.88938,                0.67986,                0.98359,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013841,              0.0013841,              0.0013841
                     14,                 0.8882,                0.66601,                0.99005,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013605,              0.0013605,              0.0013605
                     15,                0.87328,                 0.6484,                0.98073,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     16,                0.89945,                0.67521,                 1.0026,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013134,              0.0013134,              0.0013134
                     17,                0.86182,                0.58042,                0.96869,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012898,              0.0012898,              0.0012898
                     18,                0.87826,                0.62649,                0.97123,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012662,              0.0012662,              0.0012662
                     19,                0.82878,                0.58058,                0.96713,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012426,              0.0012426,              0.0012426
                     20,                0.81819,                0.54919,                0.96465,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012191,              0.0012191,              0.0012191
                     21,                0.82587,                0.57372,                0.98486,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011955,              0.0011955,              0.0011955
                     22,                0.81778,                0.57691,                0.96813,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     23,                0.78173,                0.54105,                0.95765,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011483,              0.0011483,              0.0011483
